Run	Bases	BioSample	Code	Collection_Date	Depth	Fraction	geo_loc_name_country	Latitude	Longitude	pos_km
SRR1531699	6398500	SAMN02945887	II067A	14.09.07	5.5	3	Romania	44.16878	22.78659	834
SRR1531700	6733500	SAMN02945888	II068F	14.09.07	6	0.2	Romania	44.00171	22.93472	795
SRR1531701	3055000	SAMN02945889	II071A	15.09.07	2	3	Bulgaria	43.72665	24.45045	637
SRR1531702	4459500	SAMN02945890	II073F	16.09.07	5	0.2	Romania	43.70404	24.79064	606
SRR1531703	2627000	SAMN02945891	II077A	17.09.07	7	3	Romania	43.62004	25.39859	550
SRR1531704	7868500	SAMN02945892	II078A	18.09.07	2	3	Bulgaria	43.62871	25.56566	537
SRR1531705	10223500	SAMN02945893	II079A	18.09.07	6	3	Romania	43.66886	25.61777	532
SRR1531706	8739500	SAMN02945894	II081F	20.09.07	1	0.2	Bulgaria	43.83426	25.93628	498
SRR1531707	7597500	SAMN02945895	II083F	21.09.07	7	0.2	Romania	44.05374	26.60462	434
SRR1531708	9695000	SAMN02945896	II083A	21.09.07	7	3	Romania	44.05374	26.60462	434
SRR1531709	11362000	SAMN02945897	II084F	21.09.07	2.5	0.2	Romania	44.06895	26.62256	432
SRR1531710	10485000	SAMN02945898	II084A	21.09.07	2.5	3	Romania	44.06895	26.62256	432
SRR1531711	8747000	SAMN02945899	II086A	21.09.07	7	3	Romania	44.11649	27.21295	378
SRR1531712	10728000	SAMN02945900	II087A	22.09.07	7	3	Romania	44.38254	28.04296	295
SRR1531713	7526500	SAMN02945901	II088A	23.09.07	14	3	Romania	44.77681	27.85149	235
SRR1531714	7987000	SAMN02945902	II008A	18.08.07	7	3	Austria	48.25501	14.41705	2120
SRR1531715	11152500	SAMN02945903	II089A	23.09.07	10	3	Romania	45.30175	27.99807	167
SRR1531716	9632500	SAMN02945904	II090A	23.09.07	3	3	Romania	45.40095	28.01348	157
SRR1531717	10734000	SAMN02945905	II093F	25.09.07	0	0.2	Romania	45.38978	29.58738	18
SRR1531718	7178500	SAMN02945906	II011A	19.08.07	10	3	Austria	48.35151	16.22459	1950
SRR1531719	7285500	SAMN02945907	II012F	19.08.07	3	0.2	Austria	48.33078	16.32902	1942
SRR1531720	5322000	SAMN02945908	II012A	19.08.07	3	3	Austria	48.33078	16.32902	1942
SRR1531721	7711000	SAMN02945909	II096A	26.09.07	0	3	Romania	45.07947	29.112	0
SRR1531722	12436500	SAMN02945910	II069A	15.09.07	5	3	Bulgaria	43.74861	23.88709	685
SRR1531723	11056500	SAMN02945911	II071F	15.09.07	2	0.2	Bulgaria	43.72665	24.45045	637
SRR1531724	10607000	SAMN02945912	II018Abr2	23.08.07	2.5	3	Slovakia	47.78877	17.66197	1806
SRR1531725	5857000	SAMN02945913	II017A	23.08.07	7	3	Slovakia	48.03577	17.23445	1852
SRR1531726	9263000	SAMN02945914	II024Abr2	25.08.07	2	3	Hungary	47.82157	18.73507	1716
SRR1531727	5236000	SAMN02945915	II019F	23.08.07	3	0.2	Hungary	47.73496	17.77262	1794
SRR1531728	8513000	SAMN02945916	II054A	08.09.07	5	3	Serbia	44.68132	20.72447	1132
SRR1531729	7322000	SAMN02945917	II049Abr2	05.09.07	0	3	Serbia	45.14359	20.27999	1215
SRR1531730	8234000	SAMN02945918	II066Fbr2	13.09.07	2	0.2	Serbia	44.20958	22.66839	845
SRR1531731	10416000	SAMN02945919	II071Fbr2	15.09.07	2	0.2	Bulgaria	43.72665	24.45045	637
SRR1531732	9839500	SAMN02945920	II071Abr2	15.09.07	2	3	Bulgaria	43.72665	24.45045	637
SRR1531733	4255000	SAMN02945921	II091Abr2	23.09.07	3	3	Romania	45.47034	28.20224	135
SRR1531734	3923500	SAMN02945922	II068A	14.09.07	6	3	Romania	44.00171	22.93472	795
SRR1531735	9113000	SAMN02945923	II015Abr2	21.08.07	3	3	Austria	48.17864	16.97597	1880
SRR1531736	7548500	SAMN02945924	II014Atr2	21.08.07	3	3	Austria	48.1727	16.96162	1881
SRR1531737	6426500	SAMN02945925	II014Atr3	21.08.07	3	3	Austria	48.1727	16.96162	1881
SRR1531738	8718500	SAMN02945926	II015Atr2	21.08.07	3	3	Austria	48.17864	16.97597	1880
SRR1531739	10057000	SAMN02945927	II015Atr3	21.08.07	3	3	Austria	48.17864	16.97597	1880
SRR1531740	8459500	SAMN02945928	II084Ftr2	21.09.07	2.5	0.2	Romania	44.06895	26.62256	432
SRR1531741	6922000	SAMN02945929	II084Ftr3	21.09.07	2.5	0.2	Romania	44.06895	26.62256	432
SRR1531742	8630500	SAMN02945930	II078Atr2	18.09.07	2	3	Bulgaria	43.62871	25.56566	537
SRR1531743	6151500	SAMN02945931	II078Atr3	18.09.07	2	3	Bulgaria	43.62871	25.56566	537
SRR1531744	11824000	SAMN02945932	II079Atr2	18.09.07	6	3	Romania	43.66886	25.61777	532
SRR1531745	9624000	SAMN02945933	II079Atr3	18.09.07	6	3	Romania	43.66886	25.61777	532
SRR1531746	6115500	SAMN02945934	II024Atr2	25.08.07	2	3	Hungary	47.82157	18.73507	1716
SRR1531747	5573000	SAMN02945935	II024Atr3	25.08.07	2	3	Hungary	47.82157	18.73507	1716
SRR1531748	3693500	SAMN02945936	II047Atr2	04.09.07	6	3	Serbia	45.26037	19.88602	1252
SRR1531749	6585500	SAMN02945937	II047Atr3	04.09.07	6	3	Serbia	45.26037	19.88602	1252
SRR1531750	6249500	SAMN02945938	II003Ftr2	15.08.07	2	0.2	Germany	48.97589	12.35567	2354
SRR1531751	5652000	SAMN02945939	II003Ftr3	15.08.07	2	0.2	Germany	48.97589	12.35567	2354
SRR1531752	4746500	SAMN02945940	II023Ftr2	25.08.07	4	0.2	Slovakia	47.79258	18.72863	1719
SRR1531753	5520000	SAMN02945941	II032Atr2	29.08.07	3.5	3	Hungary	47.38863	19.01025	1632
SRR1531754	5686000	SAMN02945942	II023Ftr3	25.08.07	4	0.2	Slovakia	47.79258	18.72863	1719
SRR1531755	7366000	SAMN02945943	II032Atr3	29.08.07	3.5	3	Hungary	47.38863	19.01025	1632
SRR1531756	3990000	SAMN02945944	II021Abr2	24.08.07	3	3	Slovakia	47.75932	18.14311	1766
SRR1531757	6779000	SAMN02945945	II052Atr3	07.09.07	7	3	Serbia	44.84919	20.57587	1159
SRR1531758	5972500	SAMN02945946	II032Fbr2	29.08.07	3.5	0.2	Hungary	47.38863	19.01025	1632
SRR1531759	5339000	SAMN02945947	II035Fbr2	30.08.07	3	0.2	Hungary	46.80475	18.94693	1560
SRR1531760	6001500	SAMN02945948	II040Fbr2	01.09.07	6	0.2	Croatia	45.8413	18.8568	1424
SRR1531761	7632500	SAMN02945949	II009Abr2	18.08.07	10	3	Austria	48.1967	15.05291	2061
SRR1531762	6193000	SAMN02945950	II052Abr2	07.09.07	7	3	Serbia	44.84919	20.57587	1159
